Pesoh,Cinturah,,,,
78.25,87,,,,
41.35,81.85,,,,
48.95,77.8,,,,
65.2,89,,,,
40.475,71,,,,
88.2,107,,,,
52.2,68.15,,,,
95.3,112.6,,,,
62.9,87,,,,
47.4,76.1,,,,
31.6,60.1,,,,
38.4,63.25,,,,
61.6,93.75,,,,
64.5,75.5,,,,
74.35,107,,,,
52.3,66,,,,
32.95,58.15,,,,
72.6,84,,,,
36,63,,,,
77.3,88,,,,
69.05,82.6,,,,
62.7,76.3,,,,
75.2,85,,,,
72,92.8,,,,
51.6,78.1,,,,
56,74,,,,
34.9,95.6,,,,
90,104.3,,,,
81.7,104.7,,,,
59.65,77,,,,
45.7,76.5,,,,
40.425,67.7,,,,
36.5,63.7,,,,
56.95,80.6,,,,
80.8,88.05,,,,
75.2,94.25,,,,
103.9,106.25,,,,
63.4,83.4,,,,
63.6,83,,,,
65.7,89.15,,,,
41.975,67.4,,,,
65.6,84.1,,,,
58.05,74,,,,
37.3,67.3,,,,
31.65,66,,,,
33.2,66,,,,
47.55,67.2,,,,
29.225,61.15,,,,
51.75,65.35,,,,
49.8,69.9,,,,
29.15,59,,,,
59.1,76,,,,
80.5,95.05,,,,
31.7,60.75,,,,
48.1,74.2,,,,
46.25,66.7,,,,
56.2,79.4,,,,
70.1,91.4,,,,
68.5,93.2,,,,
50,72,,,,
84.2,95,,,,
39.7,71.4,,,,
63.5,89,,,,
76.7,96.5,,,,
27.55,58.4,,,,
73.2,85,,,,
64.7,83,,,,
97.11,100,,,,
89.9,98.5,,,,
91.4,90,,,,
71.6,79.9,,,,
57.2,82,,,,
47.3,70,,,,
56.35,71,,,,
79.9,101.5,,,,
60.6,76,,,,
37.2,61.2,,,,
44.2,70.3,,,,
38.15,56.6,,,,
48.6,80.6,,,,
58.8,77,,,,
81.4,106.9,,,,
90.7,100,,,,
64.9,80.8,,,,
56.2,74.5,,,,
48.95,67.95,,,,
35.1,62.6,,,,
66.55,81.2,,,,
48.4,78,,,,
48.725,72.4,,,,
108.1,108.5,,,,
64.1,77.5,,,,
33.425,62.15,,,,
80.4,108.25,,,,
52.7,69.5,,,,
77.35,105,,,,
80.4,91.25,,,,
34.025,62.05,,,,
49.15,68.4,,,,
37.6,64.1,,,,
74,93,,,,
62.45,76.9,,,,
31.4,57.1,,,,
32.95,62,,,,
71,75.4,,,,
64.45,84.25,,,,
30.35,61.7,,,,
60.4,77.1,,,,
85.2,89.5,,,,
57.35,85.4,,,,
59.45,75.55,,,,
37.95,66,,,,
72.2,92,,,,
39.45,60.9,,,,
60.3,71.1,,,,
39.125,62.3,,,,
45.5,72.4,,,,
47.75,73.5,,,,
56.6,70.5,,,,
62.9,90.6,,,,
69.7,92.8,,,,
76.6,90.5,,,,
83.3,98.5,,,,
80.7,94,,,,
75.7,83.75,,,,
33.4,63,,,,
35.64,67,,,,
72.4,91.15,,,,
50.25,68.2,,,,
70.9,90.5,,,,
57.7,86.1,,,,
51.95,68.4,,,,
67.8,84,,,,
81.05,106.6,,,,
64.05,77.15,,,,
55.95,80,,,,
34.85,65.6,,,,
72.6,94,,,,
32.05,57.5,,,,
57.15,77.4,,,,
38.375,66.95,,,,
42.625,77,,,,
41.825,71,,,,
58.1,77.5,,,,
75.05,101,,,,
39.85,58.25,,,,
68.95,79.9,,,,
48,69.5,,,,
71.2,90.6,,,,
36.5,63.7,,,,
41.2,70,,,,
58.65,78.15,,,,
47.375,83.1,,,,
71.25,82.45,,,,
80.8,101.05,,,,
58.9,79.5,,,,
33.675,62.4,,,,
34.325,64.45,,,,
28.85,58,,,,
34.3,71,,,,
51.6,71.55,,,,
58.3,77.1,,,,
54.35,64.95,,,,
83,96.15,,,,
53.15,78.7,,,,
61.8,76.95,,,,
52.375,77.55,,,,
32.4,64,,,,
94.3,115.55,,,,
47.775,72,,,,
62.65,79.05,,,,
33.9,57.55,,,,
71,93.6,,,,
51.5,69,,,,
79.8,82.3,,,,
50.2,83,,,,
70.1,90.5,,,,
84.75,106.8,,,,
54.05,77.2,,,,
73.65,99,,,,
