Pesom,Cinturam,,,,
51.855,74.05,,,,
39.15,68.25,,,,
37.375,62.4,,,,
51.4,78.45,,,,
73.85,,,,,
57.25,90.15,,,,
61.4,96.15,,,,
61.1,103,,,,
52.75,83.5,,,,
38.15,63.3,,,,
63.9,,,,,
52.6,78.4,,,,
46.2,76.1,,,,
52.3,81,,,,
33.65,64.5,,,,
23.575,56.2,,,,
35.8,68.8,,,,
53.9,75.9,,,,
38.675,64.35,,,,
65.8,88,,,,
57.8,82.1,,,,
32.15,60.45,,,,
40.175,63.5,,,,
46.15,68.1,,,,
38.525,63.95,,,,
42.925,61.25,,,,
55.3,77.65,,,,
38.55,63.35,,,,
49.05,,,,,
50.9,75.35,,,,
49.2,69.6,,,,
36.95,67.8,,,,
44.7,72.3,,,,
27.525,52.75,,,,
62.05,90,,,,
36.35,64,,,,
62.3,83.3,,,,
36.55,58.1,,,,
56.05,81.3,,,,
80.95,103,,,,
80.8,90,,,,
67,86.4,,,,
52.6,81,,,,
53.3,81.1,,,,
55.05,84.65,,,,
53.95,,,,,
48.325,70.4,,,,
49.6,72.05,,,,
42.9,69.6,,,,
58.7,83,,,,
64.9,80.3,,,,
49.15,,,,,
43.4,71.5,,,,
32.25,61.15,,,,
46.8,74.8,,,,
31.65,61,,,,
44.45,75.5,,,,
49.65,69.45,,,,
51.85,77,,,,
78.75,106.6,,,,
75.75,84.85,,,,
61.85,,,,,
44.15,70.05,,,,
42.1,72.45,,,,
38.225,66.05,,,,
57.7,79.5,,,,
53.3,,,,,
31.925,61.9,,,,
46.75,73.6,,,,
65.7,90.75,,,,
62.325,84.5,,,,
45.2,,,,,
45.675,71.5,,,,
41.275,66.7,,,,
50.95,73.2,,,,
48.15,81,,,,
25.85,50.1,,,,
44.45,67.45,,,,
49.05,69.3,,,,
46.65,65.5,,,,
67.05,91.8,,,,
50.65,77.05,,,,
57.5,82.75,,,,
54.2,73.85,,,,
59.975,77.55,,,,
55.7,81.2,,,,
43.65,60.8,,,,
82.25,95.5,,,,
57.45,77.7,,,,
38.45,64.75,,,,
57.5,77.4,,,,
36.8,70.1,,,,
26.075,55.65,,,,
34.055,58.65,,,,
32.425,56.65,,,,
54.3,74.95,,,,
52.5,76.95,,,,
51.2,71.05,,,,
44.925,70.2,,,,
62.1,74,,,,
48.9,69,,,,
61.25,84.25,,,,
74.3,78.1,,,,
68.75,90.05,,,,
49.675,70.9,,,,
59.25,88.4,,,,
53.5,80.9,,,,
35.755,61,,,,
39.4,69.1,,,,
55.05,75.5,,,,
63.35,90.5,,,,
44.85,70.45,,,,
65.3,93.5,,,,
65.6,96,,,,
68.6,89.6,,,,
67.8,91,,,,
37.65,63.55,,,,
47.1,90.2,,,,
29.55,58.5,,,,
40.8,64.15,,,,
44.1,73.45,,,,
48.9,,,,,
62.5,91.2,,,,
55.8,74.25,,,,
62.3,86,,,,
34.975,58.8,,,,
24.275,56.3,,,,
51.325,68.5,,,,
57.9,83.05,,,,
55.55,79,,,,
67.1,94.75,,,,
53.5,71.8,,,,
34.55,64,,,,
68.25,,,,,
65,222.2,,,,
64.55,79.4,,,,
81.9,93.2,,,,
46.5,82.3,,,,
52.5,75.2,,,,
75.8,,,,,
59.05,77.8,,,,
32.05,61,,,,
69.75,96.45,,,,
56.95,76.55,,,,
88.25,,,,,
43.65,63.2,,,,
31.575,59.2,,,,
74.7,91,,,,
93.8,,,,,
63.05,75.6,,,,
52.6,71.25,,,,
58.7,83.5,,,,
57.6,79.55,,,,
55.95,,,,,
92.65,115.6,,,,
52.525,69.85,,,,
41.325,72.25,,,,
57.25,79.85,,,,
50.7,75.15,,,,
70.6,89.8,,,,
46.725,80.7,,,,
